date,avg_price,active_addresses,google_trends,top100_coins_percent,avg_polarity
2017/1/1,970.988,423375,15.348,18.573,0.115864434
2017/1/2,1010.0,600708,26.119,18.607,0.128884871
2017/1/3,1017.0,545102,24.111,18.661,0.130435333
2017/1/4,1075.0,584414,27.987,18.664,0.074779061
2017/1/5,1045.0,549210,33.725,18.684,0.085629659
2017/1/6,927.984,636009,28.983,18.531,0.116172622
2017/1/7,865.388,575818,24.453,18.567,0.114422896
2017/1/8,908.784,517117,21.574,18.594,0.098605576
2017/1/9,890.728,513475,20.915,18.552,0.072443895
2017/1/10,899.089,589739,18.725,18.553,0.097813107
2017/1/11,843.358,525287,21.916,18.516,0.065504226
2017/1/12,781.292,525778,23.089,18.517,0.098622074
2017/1/13,805.197,513655,18.549,18.54,0.060872324
2017/1/14,825.581,487220,17.537,18.46,0.054142999
2017/1/15,816.142,475729,16.022,18.402,0.089251824
2017/1/16,825.861,513070,16.001,18.399,0.097361953
2017/1/17,873.162,551064,17.858,18.393,0.063557082
2017/1/18,882.986,574624,16.681,18.33,0.098010601
2017/1/19,890.236,620881,15.508,18.333,0.092958142
2017/1/20,892.331,587282,15.508,18.327,0.119536468
2017/1/21,914.851,552658,15.005,18.328,0.087477302
2017/1/22,920.879,495222,14.663,18.35,0.04198817
2017/1/23,918.084,550007,14.844,18.361,0.097447946
2017/1/24,906.179,603034,15.0,18.286,0.098613897
2017/1/25,894.156,614252,15.84,18.263,0.088642303
2017/1/26,903.996,627055,13.988,18.255,0.113359809
2017/1/27,914.645,605182,14.502,18.267,0.097736918
2017/1/28,916.865,555265,14.175,18.263,0.076810623
2017/1/29,915.551,566127,13.656,18.269,0.085603968
2017/1/30,915.703,545227,13.474,18.268,0.077636415
2017/1/31,937.573,569731,15.01,18.264,0.103708482
2017/2/1,969.061,675244,15.935,18.323,0.077680996
2017/2/2,989.036,583892,16.599,18.32,0.114892632
2017/2/3,1009.0,606928,16.931,18.278,0.118750341
2017/2/4,1014.0,592108,15.271,18.277,0.090327494
2017/2/5,1016.0,571232,15.271,18.266,0.086109299
2017/2/6,1017.0,556820,15.935,18.224,0.112539995
2017/2/7,1038.0,629062,15.271,18.202,0.093403911
2017/2/8,1049.0,594709,17.263,18.137,0.083822509
2017/2/9,1020.0,641833,19.919,18.121,0.114546965
2017/2/10,973.244,574235,17.263,18.127,0.108525164
2017/2/11,1003.0,546267,16.267,18.162,0.082385648
2017/2/12,999.914,476601,14.275,18.165,0.091014357
2017/2/13,994.654,557770,14.607,18.087,0.097969132
2017/2/14,1003.0,591792,14.275,18.093,0.095255207
2017/2/15,1006.0,564627,14.607,18.064,0.10580321
2017/2/16,1023.0,556662,14.939,18.091,0.109810711
2017/2/17,1043.0,605463,15.271,18.079,0.092710941
2017/2/18,1056.0,611856,15.935,18.086,0.112056374
2017/2/19,1049.0,516961,13.943,18.069,0.103082754
2017/2/20,1052.0,569795,15.935,18.056,0.087969757
2017/2/21,1095.0,588449,17.927,18.06,0.056677874
2017/2/22,1114.0,557307,17.927,18.062,0.083334094
2017/2/23,1140.0,599019,19.255,18.086,0.126236845
2017/2/24,1178.0,667890,23.57,18.027,0.088240597
2017/2/25,1163.0,610532,19.919,18.049,0.113126216
2017/2/26,1160.0,592232,16.599,18.057,0.081402926
2017/2/27,1181.0,556794,17.927,18.097,0.081715287
2017/2/28,1190.0,604428,17.927,18.099,0.091518639
2017/3/1,1203.0,590693,20.251,18.079,0.094016321
2017/3/2,1237.0,610153,23.57,18.138,0.140630959
2017/3/3,1270.0,641410,31.538,18.163,0.089915356
2017/3/4,1271.0,529068,23.902,18.257,0.082257008
2017/3/5,1261.0,612220,21.247,18.265,0.098208987
2017/3/6,1273.0,563092,21.247,18.262,0.090969488
2017/3/7,1252.0,651489,22.243,18.285,0.10760174
2017/3/8,1196.0,626813,24.566,18.288,0.053758814
2017/3/9,1175.0,622875,22.575,18.31,0.090695521
2017/3/10,1202.0,649333,31.206,18.323,0.047561117
2017/3/11,1168.0,603874,27.222,18.33,0.125063515
2017/3/12,1195.0,507337,19.919,18.336,0.096658777
2017/3/13,1229.0,582164,21.579,18.358,0.091565667
2017/3/14,1239.0,669199,19.587,18.284,0.106910152
2017/3/15,1248.0,620597,19.587,18.28,0.082734211
2017/3/16,1218.0,410410,19.919,18.266,0.084841486
2017/3/17,1131.0,662121,20.915,18.286,0.023856923
2017/3/18,1039.0,647693,23.57,18.395,0.095577381
2017/3/19,1014.0,617858,20.915,18.42,0.093424156
2017/3/20,1039.0,250634,21.247,18.401,0.054340685
2017/3/21,1089.0,617255,20.251,18.309,0.099592056
2017/3/22,1062.0,676136,20.915,18.242,0.088547339
2017/3/23,1043.0,598006,19.587,18.296,0.142259736
2017/3/24,997.754,645206,18.923,18.309,0.081723782
2017/3/25,934.795,558708,21.247,18.063,0.10310212
2017/3/26,973.897,533165,17.595,18.109,0.061093866
2017/3/27,1003.0,513215,19.255,18.072,0.093988379
